name,date,observed,public,country,uuid,weekday.date.name,weekday.date.numeric,weekday.observed.name,weekday.observed.numeric
New Year's Day,2020-01-01,2020-01-01,True,MX,cee56502-97a2-461b-a491-e82c145f6358,Wednesday,3,Wednesday,3
New Year's Day,2020-01-01,2020-01-01,True,US,82f78b8a-019e-479e-a19f-99040275f9bf,Wednesday,3,Wednesday,3
Seventh Day of Kwanzaa,2020-01-01,2020-01-01,False,US,0e766ff3-0d31-40e1-85e1-49ed61ab006d,Wednesday,3,Wednesday,3
New Year's Day,2020-01-01,2020-01-01,True,CA,1f9bc6e3-b71c-44cb-a62d-6453db68ec50,Wednesday,3,Wednesday,3
Epiphany,2020-01-06,2020-01-06,False,MX,e68fbdb6-2bac-4947-bb9f-93d5d0ca52ce,Monday,1,Monday,1
Epiphany,2020-01-06,2020-01-06,False,US,61d8d9ba-8ce1-4e64-9b1a-f40d30f74a57,Monday,1,Monday,1
Orthodox Christmas Eve,2020-01-06,2020-01-06,False,US,bc893ac4-be85-4af6-abad-687e923bbcec,Monday,1,Monday,1
Orthodox Christmas Day,2020-01-07,2020-01-07,False,US,8ed029b2-c39d-46aa-b15a-4c67540380e4,Tuesday,2,Tuesday,2
Stephen Foster Memorial Day,2020-01-13,2020-01-13,False,US,099def58-4545-4468-bdbb-d370c7726189,Monday,1,Monday,1
Orthodox New Year's Day,2020-01-14,2020-01-14,False,US,4f7a5c31-18fa-4ffc-a47c-b889576ca002,Tuesday,2,Tuesday,2
Raoul Wallenberg Day,2020-01-17,2020-01-17,False,CA,a71ab50f-669c-4e12-b39a-b4b041951114,Friday,5,Friday,5
"Martin Luther King, Jr. Day",2020-01-20,2020-01-20,True,US,638d6949-d68e-438a-9335-5ef07e221db5,Monday,1,Monday,1
Chinese New Year's Day,2020-01-25,2020-01-25,False,US,cbf02d47-8eb1-4d05-acf9-b92c926990a4,Saturday,6,Saturday,6
National Freedom Day,2020-02-01,2020-02-01,False,US,ea82454e-442c-438e-a23a-fe1466ce478d,Saturday,6,Saturday,6
Groundhog Day,2020-02-02,2020-02-02,False,US,addc2151-d9f1-407e-b63d-dc240a91a1db,Sunday,7,Sunday,7
Super Bowl Sunday,2020-02-02,2020-02-02,False,US,8947cc36-dd49-4101-8db3-6b8100d93688,Sunday,7,Sunday,7
Groundhog Day,2020-02-02,2020-02-02,False,CA,b2fbe511-cc72-4c48-befc-df6f98a82724,Sunday,7,Sunday,7
Constitution Day,2020-02-03,2020-02-03,True,MX,36c72dc9-1fb1-4e7f-b72b-0570e40f2cf1,Monday,1,Monday,1
National Wear Red Day,2020-02-07,2020-02-07,False,US,a251947e-d82c-4636-b5da-6f1e1da4633e,Friday,5,Friday,5
Valentine's Day,2020-02-14,2020-02-14,False,MX,b6470899-abd9-41af-a970-11d1062bb477,Friday,5,Friday,5
Valentine's Day,2020-02-14,2020-02-14,False,US,351c593b-6b5c-4012-871c-292d5c3ccd63,Friday,5,Friday,5
